FY Obligation Year,Lender_Name,Borrower_Name,Project Name,Main_Address_Line1,City,State Abbreviation,Zip_Code,Date_Loan_Closing,Loan_Amount,Total_Development_Cost,Population_Obligation,Median_Household_Income_Obligation,Total_1_Bedroom_Units,Total_2_Bedroom_Units,Br1 Unit Average Contract Rent,Br2 Unit Average Contract Rent,Construction_Type,Project_Type
2014,CHURCHILL MORTGAGE INVESTMENT LLC,"MANCHESTER PIGEON BLUFF, LP",PIGEON BLUFF APARTMENTS,161 ROASE COURT,MANCHESTER,GA,318160000,2014-12-10T06:00:00Z,775900,1585247,4230,50100,4,12,410,425,REHAB/REPAIR,FAMILY
2014,CHURCHILL MORTGAGE INVESTMENT LLC,"MANCHESTER PIGEON CREEK, LP",PIGEON CREEK APARTMENTS,161 ROSE COURT,MANCHESTER,GA,318160000,2014-12-10T06:00:00Z,1540000,3087117,4230,50100,40,2,405,420,REHAB/REPAIR,SENIOR
2012,BELLWETHER ENTERPRISE REAL ESTATE,MANISTEE PLACE LHDA LP,MANISTEE PLACE APTS,297 FIFTH AVENUE,MANISTEE,MI,430810000,2014-09-25T05:00:00Z,345000,5402456,6226,51900,16,30,475,575,REHAB/REPAIR,FAMILY
2017,"BONNEVILLE MORTGAGE COMPANY, LLC","MANZANITA GARDENS ASSC OF SAN JACINTO,LP",MANZANITA GARDEN APARTMENTS,537 N RAMONA BLVD,SAN JACINTO,CA,925830000,2017-05-19T05:00:00Z,684000,7433555,44199,56592,16,16,659,825,REHAB/REPAIR,FAMILY
2018,BELLWETHER ENTERPRISE REAL ESTATE,MAPLE HILL LDHA LP,MAPLE HILL APTS,209 PEARL STREET,CADILLAC,MI,496010000,2020-12-10T06:00:00Z,325000,3134846,10460,50077,4,9,500,525,REHAB/REPAIR,FAMILY
2020,"BONNEVILLE MORTGAGE COMPANY, LLC","MAPLE PARK SENIOR VILLAGE, LLC",MAPLE PARK SENIOR VILLAGE,00 CLEARFORK STREET,LOCKHART,TX,786440000,2023-02-13T06:00:00Z,4948000,11599455,12698,51346,14,42,816.66,958.66,NEW CONSTRUCTION,SENIOR
2023,"BONNEVILLE MORTGAGE COMPANY, LLC","MAPLE PARK SENIOR VILLAGE, LLC",MAPLE PARK SENIOR VILLAGE,00 CLEARFORK STREET,LOCKHART,TX,786440000,2023-02-13T06:00:00Z,271000,11599455,12698,51346,14,42,816.66,958.66,NEW CONSTRUCTION,SENIOR
2019,CHURCHILL MORTGAGE INVESTMENT LLC,"MARION COMMONS APARTMENTS, LLC",MARION COMMONS APARTMENTS,108 LANCE AVENUE,LAKE CITY,SC,295600000,2022-07-29T05:00:00Z,1047600,8555680,6675,86850,14,31,531,628,NEW CONSTRUCTION,SENIOR
2018,CHURCHILL MORTGAGE INVESTMENT LLC,MARION MANOR VA LLC,MARION MANOR,1001 MARION MANOR DRIVE,MARION,VA,243540000,2018-06-27T05:00:00Z,1650000,9045686,5968,32829,5,64,319,491.25,REHAB/REPAIR,FAMILY
2020,CHURCHILL MORTGAGE INVESTMENT LLC,MARION MANOR VA LLC,MARION MANOR,1001 MARION MANOR DRIVE,MARION,VA,243540000,2019-12-10T06:00:00Z,200000,9045686,5968,32829,5,64,319,491.25,REHAB/REPAIR,FAMILY
2002,NEW MEXICO MORTGAGE FINANCE AUTHORITY,MARIPOSA VILLAGE LIMITED PARTNERSHIP,MARIPOSA VILLAGE,901 S. TENNYSON,DEMING,NM,880300000,2003-04-30T05:00:00Z,1300000,3785246,14116,24000,36,24,545,645,NEW CONSTRUCTION,SENIOR
2016,"BONNEVILLE MORTGAGE COMPANY, LLC","MARYSVILLE ALBERTA GARDENS, LP",ALBERTA GARDENS APARTMENTS,6012 ALBERTA AVENUE,MARYSVILLE,CA,959010000,2017-11-15T06:00:00Z,1410000,7059825,12072,45470,16,32,247,278,REHAB/REPAIR,FAMILY
2021,"BONNEVILLE MORTGAGE COMPANY, LLC","MARYVILLE HALL APARTMENTS, LP",LAUREL BRANCH,106 LAUREL BRANCH DRIVE,MARYVILLE,TN,378010000,2020-12-16T06:00:00Z,5800000,12722855,27465,61916,0,46,0,600,NEW CONSTRUCTION,FAMILY
2010,BELLWETHER ENTERPRISE REAL ESTATE,MASON GREENE LIMITED PARTNERSHIP,MASON GREENE,340 STOKES DRIVE,MONTICELLO,KY,426330000,2010-06-22T05:00:00Z,255000,8983600,5981,31200,28,20,342,430,REHAB/REPAIR,FAMILY
2017,GREYSTONE SERVICING COMPANY LLC,"MAYSVILLE TERRACE, LLC",MAYSVILLE TERRACE,819 PARKVIEW DRIVE,MAYSVILLE,OK,730570000,2018-02-27T06:00:00Z,550000,1418856,1232,58600,1,15,452,562,REHAB/REPAIR,FAMILY
2013,BELLWETHER ENTERPRISE REAL ESTATE,"MCCLOUD RIVER COMMUNITY PARTNERS, LP",MCCLOUD RIVER APARTMENTS,110 WATER STREET,MCCLOUD,CA,960570000,2014-12-04T06:00:00Z,775000,5922373,1101,57900,16,20,665,740,REHAB/REPAIR,FAMILY
2015,BELLWETHER ENTERPRISE REAL ESTATE,MCCORMICK GREENE LIMITED PARTNERSHIP,MCCORMICK GREENE APARTMENTS,110 WATER STREET,SISTERSVILLE,WV,261750000,2017-03-01T06:00:00Z,715000,4587952,9211,37919,0,20,0,515,NEW CONSTRUCTION,FAMILY
2018,"BONNEVILLE MORTGAGE COMPANY, LLC","MCGREGOR SENIOR HOUSING, L.P.",MCGREGOR SENIOR APARTMENTS,1007 S. MADISON,MCGREGOR,TX,766570000,2018-10-01T05:00:00Z,600000,3781195,4987,42687,28,8,500,600,REHAB/REPAIR,SENIOR
2016,"BONNEVILLE MORTGAGE COMPANY, LLC",MCKINLEY PLACE LP,MCKINLEY PLACE,81 NORTH JOHNSON ST.,COATS,NC,275210000,2019-03-13T05:00:00Z,1450000,5993357,2112,44417,0,24,0,550,NEW CONSTRUCTION,FAMILY
2019,"BONNEVILLE MORTGAGE COMPANY, LLC",MCKINLEY PLACE LP,MCKINLEY PLACE - SUBSEQUENT,81 N JOHNSON STREET,COATS,NC,275210000,2019-03-13T05:00:00Z,153865,6163669,2432,33780,0,24,0,520,NEW CONSTRUCTION,FAMILY
2010,"LUMENT REAL ESTATE CAPITAL, LLC",MDI LIMITED PARTNERSHIP #103,PRAIRIE HILLS TOWNHOMES,2341 4TH AVE W,DICKINSON,ND,586010000,2012-03-28T05:00:00Z,1360300,5919803,16265,41566,0,18,0,563,NEW CONSTRUCTION,FAMILY
2014,"BONNEVILLE MORTGAGE COMPANY, LLC",MDI LIMITED PARTNERSHIP #112,"GREAT NORTHERN, ETC.",223 4TH AVE.,DEVILS LAKE,ND,583010000,2015-01-28T06:00:00Z,1390239,8405075,7141,41792,102,12,640,775,REHAB/REPAIR,MIXED
2014,"BONNEVILLE MORTGAGE COMPANY, LLC",MDI LIMITED PARTNERSHIP #112,"VILLARD TERRACE, ETC.",22 4TH AVE. E.,DICKINSON,ND,586010000,2015-01-28T06:00:00Z,3748280,9781025,17787,53411,103,31,690,838,REHAB/REPAIR,MIXED
2004,"PNC BANK, N.A.",MEADOW ESTATES II LP,MEADOW ESTATES II,93 N. THIRD STREET,SHELBY,OH,448570000,2005-09-23T05:00:00Z,270000,2635046,9682,35938,0,32,0,331,NEW CONSTRUCTION,FAMILY
2016,"BONNEVILLE MORTGAGE COMPANY, LLC","MEADOW MANOR, L.P.",MEADOW MANOR,150 MEADOW LANE,EUFAULA,AL,360270000,2018-10-17T05:00:00Z,500000,5730602,27457,35634,27,36,357,381,REHAB/REPAIR,FAMILY
2018,CHURCHILL MORTGAGE INVESTMENT LLC,"MEADOW RUN DAWSON, LLC",MEADOW RUN I,875 MEADOW RUN LANE SE,DAWSON,GA,398420000,2018-12-20T06:00:00Z,341000,4226602,4540,29943,10,37,480,595,REHAB/REPAIR,FAMILY
2018,CHURCHILL MORTGAGE INVESTMENT LLC,"MEADOW RUN II DAWSON, LLC",MEADOW RUN II,875 MEADOW RUN LANE SE,DAWSON,GA,398420000,2018-12-20T06:00:00Z,813000,3517766,4540,25943,38,2,426,506,REHAB/REPAIR,SENIOR
2021,GREYSTONE SERVICING COMPANY LLC,"MEADOWBROOK APARTMENTS, LLC",MEADOWBROOK APARTMENTS,126 N MICHAEL DRIVE,SCOTTSBURG,IN,471700000,2021-05-12T05:00:00Z,1450000,4889072,5496,61600,24,22,505,615,REHAB/REPAIR,FAMILY
2009,"BONNEVILLE MORTGAGE COMPANY, LLC",MEADOWBROOK BUHL LLC,MEADOWBROOK APARTMENTS,502 ELM STREET,BUHL,ID,833160000,2010-09-15T05:00:00Z,470000,1921660,3985,34506,0,16,0,635,NEW CONSTRUCTION,FAMILY
2011,"BONNEVILLE MORTGAGE COMPANY, LLC",MEADOWLANDS APARTMENTS LLC,MEADOWLANDS APARTMENTS LLC,115 W. GRANITE ST.,BUTTE,MT,597010000,2012-10-23T05:00:00Z,1455597,6849387,33892,30402,32,16,415,498.75,NEW CONSTRUCTION,SENIOR
2007,BELLWETHER ENTERPRISE REAL ESTATE,MEADOWLANE HOUSING ASSOCIATES LP,MEADOWLANE APARTMENTS,36 VILLEMAIRE LANE,MILTON,VT,54680000,2008-06-19T05:00:00Z,1100000,6098200,9479,46458,34,2,795,825,NEW CONSTRUCTION,SENIOR
2018,CHURCHILL MORTGAGE INVESTMENT LLC,"MEADOWS AT ARCADIA, LP",MEADOWS AT ARCADIA,1210 WEST CRAWFORD STREET,ARCADIA,LA,710010000,2019-03-06T06:00:00Z,875000,7974507,2919,20875,16,49,317,506,REHAB/REPAIR,FAMILY
2023,CHURCHILL MORTGAGE INVESTMENT LLC,"MEADOWS FAMILY, LP",THE MEADOWS,100 BROOKS DRIVE,BALDWYN,MS,388240000,2024-03-21T05:00:00Z,600000,7105756,3222,55900,0,18,0,833,REHAB/REPAIR,FAMILY
2017,GREYSTONE SERVICING COMPANY LLC,"MEEKER TERRACE, LLC",MEEKER VILLAGE,400 DOVER CIRCLE,MEEKER,OK,748550000,2018-02-27T06:00:00Z,1104000,3894023,1144,54900,2,20,445,555,REHAB/REPAIR,FAMILY
2012,"BONNEVILLE MORTGAGE COMPANY, LLC","MENDOTA HURON COMMUNITY PARTNERS, LP",COUNTRYWAY APARTMENTS,1000 2ND STREET,MENDOTA,CA,936400000,2012-08-31T05:00:00Z,1785000,3548456,7890,34725,11,24,450,500,REHAB/REPAIR,FAMILY
2012,"BONNEVILLE MORTGAGE COMPANY, LLC","MENDOTA HURON COMMUNITY PARTNERS, LP",CONQUISTADOR VILLA APARTMENTS,16201 PALMER AVENUE,HURON,CA,932340000,2012-08-31T05:00:00Z,2240000,3489026,6306,34725,0,14,0,535,REHAB/REPAIR,FAMILY
2006,"PNC BANK, N.A.","MERIDIAN GREENE II, LLC",MERIDIAN GREENE II,101 MERIDIAN WAY,WINTERSVILLE,OH,439520000,2006-12-28T06:00:00Z,1150000,5327222,4067,35330,4,24,335,580,NEW CONSTRUCTION,SENIOR
2019,MERCHANTS CAPITAL CORP.,"MERIDIAN POINTE, LLC",MERIDIAN POINTE,6146 E NC 150 HIGHWAY,DENVER,NC,286500000,2019-04-30T05:00:00Z,2173477,10142401,2369,52000,12,36,437,515,NEW CONSTRUCTION,SENIOR
2014,CHURCHILL MORTGAGE INVESTMENT LLC,"MERIWETHER WARM SPRINGS, LP",WARM SPRINGS APTS,4161 WHITEHOUSE PARKWAY,WARM SPRINGS,GA,318300000,2014-12-10T06:00:00Z,248400,1916352,425,50100,4,16,390,425,REHAB/REPAIR,FAMILY
2006,"PNC BANK, N.A.","MID OHIO HOUSING, LLC",LINDEN GREENE,3 HONLERS POINTE DRIVE,JAMESTOWN,OH,453350000,2006-11-28T06:00:00Z,1475000,6877083,1917,40599,0,0,0,0,NEW CONSTRUCTION,FAMILY
2021,WEST VIRGINIA HOUSING DEVELOPMENT FUND,"MILL CREEK LANDING APARTMENTS, L.P.",MILL CREEK LANDING,1 WISE ACRES DRIVE,CHARLESTON,WV,253110000,2023-04-12T05:00:00Z,1053000,5830168,20000,55700,8,32,511,586,REHAB/REPAIR,FAMILY
2022,BELLWETHER ENTERPRISE REAL ESTATE,"MILL RUN HOUSING, LTD",MILL RUN APARTMENTS,55 MILL RUN CIRCLE,ELKHART,TX,758390000,2024-04-02T05:00:00Z,966377,6814493,1273,59500,2,51,599,715,REHAB/REPAIR,FAMILY
2014,CHURCHILL MORTGAGE INVESTMENT LLC,"MILLEN BRIER CREEK, LP",BRIER CREEK,535 BRIER CREEK,MILLEN,GA,304420000,2014-12-10T06:00:00Z,401500,2404524,3120,38100,28,0,510,0,REHAB/REPAIR,SENIOR
2007,WEST VIRGINIA HOUSING DEVELOPMENT FUND,MINERAL MANOR LLC,MINERAL MANOR APARTMENTS,100 MINERAL MANOR WAY,PARKERSBURG,WV,261010000,2010-01-05T06:00:00Z,1453000,4725362,1860,45400,12,16,416,469,NEW CONSTRUCTION,FAMILY
2022,"BONNEVILLE MORTGAGE COMPANY, LLC","MINNIE ST. 2020, LLC",CALIENTE RENAISSANCE APTS,150 MINNIE STREET,CALIENTE,NV,890080000,2022-03-10T06:00:00Z,1550000,5187995,1084,63300,8,16,519.5,624,REHAB/REPAIR,FAMILY
2014,BELLWETHER ENTERPRISE REAL ESTATE,"MITCHELL TOWNHOMES, LLC",THE LANDING,716 NORTH IOWA STREET,MITCHELL,SD,573010000,2015-10-14T05:00:00Z,1110000,4355490,15254,39345,0,16,0,602,NEW CONSTRUCTION,FAMILY
2021,"BONNEVILLE MORTGAGE COMPANY, LLC",MLV AFFORDABLE LP,MILL VIEW APARTMENTS,780 HALL STREET,SUSANVILLE,CA,961300000,2022-05-03T05:00:00Z,2650000,9165185,17947,54083,16,36,764,812,REHAB/REPAIR,FAMILY
2020,CHURCHILL MORTGAGE INVESTMENT LLC,"MOCKSVILLE POINTE, LLC",MOCKSVILLE POINTE APARTMENTS,115 POINTE HOUSE LN,MOCKSVILLE,NC,270280000,2020-06-03T05:00:00Z,1790000,9500170,5051,61900,12,36,389,623,NEW CONSTRUCTION,FAMILY
2021,WEST VIRGINIA HOUSING DEVELOPMENT FUND,MONONGAH HEIGHTS APARTMENTS TM LLC,MONONGAH HEIGHTS APARTMENTS,500 MONONGAH HEIGHTS,FAIRMONT,WV,266540000,2023-10-04T05:00:00Z,300000,4525408,56072,62600,20,20,560,610,REHAB/REPAIR,FAMILY
2012,"BONNEVILLE MORTGAGE COMPANY, LLC","MONROE HALL APARTMENTS, LP",MONROE RIDGE APARTMENTS,201 TELFORD ROAD,SWEETWATER,TN,378740000,2013-08-23T05:00:00Z,1140000,6791260,5586,33359,8,24,435,518,NEW CONSTRUCTION,FAMILY
2004,"PNC BANK, N.A.",MONTEREY PASS LP,MONTEREY PASS,877 COBBHAM RD,THOMSON,GA,308240000,2005-02-08T06:00:00Z,615000,5025000,6828,32482,30,30,320,350,NEW CONSTRUCTION,SENIOR
2016,"BONNEVILLE MORTGAGE COMPANY, LLC",MOON VALLEY APARTMENTS L.P.,MOON VALLEY APARTMENTS,142 S SUNLIGHT AVE,STAR,ID,836690000,2018-01-18T06:00:00Z,1275000,7585500,5793,62400,8,21,562,690,NEW CONSTRUCTION,FAMILY
2008,"BONNEVILLE MORTGAGE COMPANY, LLC",MOONLIGHT HOUSING  PARTNERS LP,MOONLIGHT I,445 WEST CHESTNUT,DIXON,CA,956200000,2009-06-25T05:00:00Z,1500000,3724754,18510,54448,10,18,679,812,REHAB/REPAIR,FAMILY
2009,"BONNEVILLE MORTGAGE COMPANY, LLC",MOONLIGHT HOUSING  PARTNERS LP,MOONLIGHT II,425 WEST CHESTNUT STREET,DIXON,CA,956200000,2009-08-25T05:00:00Z,550000,3733780,18510,54448,2,26,673,802,REHAB/REPAIR,FAMILY
2009,"BONNEVILLE MORTGAGE COMPANY, LLC",MOONLIGHT HOUSING  PARTNERS LP,MOONLIGHT I,445 WEST CHESTNUT,DIXON,CA,956200000,2009-09-03T05:00:00Z,550000,3724754,18510,54448,10,18,679,812,REHAB/REPAIR,FAMILY
2008,"BONNEVILLE MORTGAGE COMPANY, LLC",MOONLIGHT HOUSING  PARTNERS LP,MOONLIGHT II,425 WEST CHESTNUT STREET,DIXON,CA,956200000,2009-06-25T05:00:00Z,1500000,3733780,18510,54448,2,26,673,802,REHAB/REPAIR,FAMILY
2016,CHURCHILL MORTGAGE INVESTMENT LLC,MORGAN POINTE APARTMENTS LLC,MORGAN POINTE,645 S. HUGHES BLVD.,ELIZABETH CITY,NC,279090000,2018-08-07T05:00:00Z,3681000,15051318,18683,58000,18,66,445,550,NEW CONSTRUCTION,FAMILY
2024,"BONNEVILLE MORTGAGE COMPANY, LLC","MORRISTOWN HALL APARTMENTS, LP",AVONLEA GREENE,300 TALBOTT KANSAS ROAD,MORRISTOWN,TN,378770000,2024-08-14T05:00:00Z,3384242,16502405,29547,44664,0,36,0,591,NEW CONSTRUCTION,FAMILY
2018,CHURCHILL MORTGAGE INVESTMENT LLC,"MOSS POINT BOND TC, LP",ESCATAWPA VILLAGE APARTMENTS,8603 HIGHWAY 613,MOSS POINT,MS,395620000,2018-08-15T05:00:00Z,1125000,2895446,13704,36830,8,23,628,665,REHAB/REPAIR,FAMILY
2009,"LUMENT REAL ESTATE CAPITAL, LLC",MOUNT VERNON SENIOR HOUSING L.P.,DOGWOOD PLACE,11701 UPPER GILCHRIST ROAD,MT. VERNON,OH,430500000,2011-10-04T05:00:00Z,275000,4134249,14375,29801,8,20,258,308,NEW CONSTRUCTION,SENIOR
2020,CHURCHILL MORTGAGE INVESTMENT LLC,"MOUNTAIN CITY MANOR, LLC",MOUNTAIN CITY MANOR APARTMENTS,310 DOTSON LANE,MOUNTAIN CITY,TN,376830000,2019-12-19T06:00:00Z,2200000,4312523,2531,44800,40,0,655,0,REHAB/REPAIR,SENIOR
2024,CHURCHILL MORTGAGE INVESTMENT LLC,MOUNTAIN GLEN LIMITED PARTNERSHIP,MOUNTAIN GLEN APARTMENTS,88 MOUNTAIN GLEN DR,BREVARD,NC,287120000,2024-05-10T05:00:00Z,1795000,6408693,7744,68600,0,16,0,686,REHAB/REPAIR,FAMILY
2013,"BONNEVILLE MORTGAGE COMPANY, LLC","MOUNTAIN HOLLOW, L.P.",MOUNTAIN HOLLOW,100 MOUNTAIN HOLLOW COURT,ELIZABETHTON,TN,376430000,2013-10-22T05:00:00Z,975000,7090910,13372,25909,8,20,335,420,NEW CONSTRUCTION,FAMILY
2007,BELLWETHER ENTERPRISE REAL ESTATE,"MOUNTAIN POINTE APARTMENTS II, LP",MOUNTAIN POINTE APARTMENTS II,800 E BAFFERT DRIVE,NOGALES,AZ,856210000,2009-09-04T05:00:00Z,497314,8738367,20878,32701,18,18,316,376,NEW CONSTRUCTION,FAMILY
2002,FIRST SECURITY BANK,MOUNTAIN STATION II APARTMENTS AN AR LP,MOUNTAIN STATION II APARTMENTS,1749 GLENBRIAR DRIVE,MOUNTAIN HOME,AR,726540000,2004-11-10T06:00:00Z,1127750,3777750,11000,62550,4,28,350,400,NEW CONSTRUCTION,FAMILY
2023,BELLWETHER ENTERPRISE REAL ESTATE,"MOUNTAIN VIEW ASSOCIATES OF PAYSON, LLC",MOUNTAIN VIEW APARTMENTS,987 E 200 NORTH,PAYSON,UT,846510000,2023-04-05T05:00:00Z,71000,12906693,18294,63276,6,29,695,824,REHAB/REPAIR,FAMILY
2021,BELLWETHER ENTERPRISE REAL ESTATE,"MOUNTAIN VIEW ASSOCIATES OF PAYSON, LLC",MOUNTAIN VIEW APARTMENTS,987 E 200 NORTH,PAYSON,UT,846510000,2021-04-28T05:00:00Z,1420000,12906693,18294,63276,6,29,695,824,REHAB/REPAIR,FAMILY
2017,"BONNEVILLE MORTGAGE COMPANY, LLC","MOUNTAIN VIEW COMMUNITY PARTNERS, LP",MOUNTAIN VIEW APARTMENTS,68680 DINAH SHORE DRIVE,CATHEDRAL CITY,CA,922340000,2018-05-30T05:00:00Z,15830000,37802954,51200,56592,280,0,811,0,REHAB/REPAIR,SENIOR
2016,MERCHANTS CAPITAL CORP.,"MOUNTAIN VIEW OF WILKESBORO, LLC",MOUNTAIN VIEW APARTMENTS,1626 SKYLAND DRIVE,WILKESBORO,NC,289670000,2017-05-04T05:00:00Z,1250000,6168389,3426,33159,0,36,0,488,NEW CONSTRUCTION,FAMILY
2021,"BONNEVILLE MORTGAGE COMPANY, LLC",MOUNTAIN VIEW VILLAGE,MOUNTAIN VIEW VILLAGE,1200 HANSON STREET,WINNEMUCCA,NV,894450000,2023-06-21T05:00:00Z,4000000,10172538,7754,66857,0,12,0,822,REHAB/REPAIR,FAMILY
2006,"LUMENT REAL ESTATE CAPITAL, LLC","MOUNTAINVIEW ESTATES, L.P.",MOUNTAINVIEW ESTATES,HIGHWAY 62 WEST & HWY 126 NORTH,GASSVILLE,AR,726350000,2007-09-10T05:00:00Z,1200000,3832593,1706,25478,0,0,0,0,NEW CONSTRUCTION,FAMILY
2013,"BONNEVILLE MORTGAGE COMPANY, LLC","MT SHASTA ALTA VISTA MANOR, LP",ALTA VISTA MANOR APARTMENTS,625 MARJORIE ST.,MOUNT SHASTA,CA,960670000,2013-06-18T05:00:00Z,894500,5234209,3621,29530,43,1,273,1,REHAB/REPAIR,SENIOR
2008,"LUMENT REAL ESTATE CAPITAL, LLC","MT. PLEASANT LAKESIDE APARTMENTS, LP",LAKESIDE APARTMENTS,TENNISON ROAD & S. JEFFERSON AVE,MOUNT PLEASANT,TX,754550000,2009-11-12T06:00:00Z,1585000,6075000,13935,28805,16,36,414.25,487.03,NEW CONSTRUCTION,FAMILY
2006,"PNC BANK, N.A.",MULBERRY COURT LP,MULBERRY COURT,154 W. JACK ALLEN RD,FITZGERALD,GA,317500000,2007-03-27T05:00:00Z,250000,5280000,8940,27100,24,24,325,375,NEW CONSTRUCTION,SENIOR
2014,BELLWETHER ENTERPRISE REAL ESTATE,"MULLICA WEST APARTMENTS, LP",MULLICA WEST APARTMENT,58 WOODSTOWN RD.,MULLICA HILL,NJ,80620000,2016-03-11T06:00:00Z,4999999,23529109,6147,51422,112,13,615,700,REHAB/REPAIR,FAMILY
2019,"BONNEVILLE MORTGAGE COMPANY, LLC","MUNAQSRI SENIOR ASSOCIATES OF NOME, LP",MUNAQSRI SENIOR APARTMENTS,494 STEADMAN ST,NOME,AK,997620000,2019-08-13T05:00:00Z,726000,8126207,9492,71643,15,0,1630,0,REHAB/REPAIR,SENIOR
2020,CHURCHILL MORTGAGE INVESTMENT LLC,"MV 1005, LLC",MORRISON VILLAGE,1005 S. 7TH ST.,MORRISON,OK,730610000,2020-10-14T05:00:00Z,740000,1523215,725,50000,1,7,550,700,REHAB/REPAIR,FAMILY
2016,CHURCHILL MORTGAGE INVESTMENT LLC,"NASH ABBINGTON GLEN, LP.",ABBINGTON GLEN OF NASH,EAST NEW BOSTON ROAD,NASH,TX,755690000,2017-12-20T06:00:00Z,2200000,9767736,2996,37686,18,30,483,550,NEW CONSTRUCTION,FAMILY
2000,FIRST SECURITY BANK,"NATCAP PWPH MH, LLC",PARK WEST PATIO HOMES,559 EMBASSY PARKWAY,MOUNTAIN HOME,AR,726530000,2021-01-15T06:00:00Z,"1,076,783.6",2219524,9027,62550,0,0,0,0,NEW CONSTRUCTION,SENIOR
1999,FIRST SECURITY BANK,NATCAP WSS CABOT LLC,WOODLAND STATION SENIOR APTS,8 SHANE DRIVE,CABOT,AR,720230000,2020-12-17T06:00:00Z,"1,192,571.42",3693200,10000,20000,0,59,0,500,NEW CONSTRUCTION,SENIOR
2008,"LUMENT REAL ESTATE CAPITAL, LLC",NATIONAL AFFORDABLE HOUSING FOUNDATION,BP1,1307 12TH AVE.,BELLE PLAINE,IA,522081663,2010-01-26T06:00:00Z,1302700,1944717,2862,36316,52,18,347.41,416.67,REHAB/REPAIR,SENIOR
2009,"LUMENT REAL ESTATE CAPITAL, LLC",NATIONAL AFFORDABLE HOUSING FOUNDATION,BELLE PLAINE VILLAGE,1307 12TH AVE.,BELLE PLAINE,IA,522081663,2010-01-26T06:00:00Z,157200,1944717,2862,36316,52,18,347.41,416.67,REHAB/REPAIR,SENIOR
2009,"LUMENT REAL ESTATE CAPITAL, LLC",NATIONAL AFFORDABLE HOUSING FOUNDATION,SCOTCHVIEW MANOR,705 JOHN GOODHUE DR.,CARLISLE,IA,500470000,2009-12-15T06:00:00Z,587500,929896,5092,49028,16,0,525,0,REHAB/REPAIR,SENIOR
2017,GREYSTONE SERVICING COMPANY LLC,"NEW AUSTIN MANOR APTS. OF NC, LLC",AUSTIN MANOR APARTMENTS,129 SOUTH 3RD ST.,SMITHFIELD,NC,275770000,2018-03-22T05:00:00Z,2638000,5278071,10966,76600,47,1,667,745,REHAB/REPAIR,SENIOR
2008,CHURCHILL MORTGAGE INVESTMENT LLC,NEW AUTUMNWOOD VILLAGE APARTMENTS LLC,AUTUMNWOOD VILLAGE APARTMENTS,120 AUTUMNWOOD LANE,WALHALLA,SC,296910000,2010-03-01T06:00:00Z,780000,2371211,3704,51800,32,0,450,0,REHAB/REPAIR,SENIOR
2008,CHURCHILL MORTGAGE INVESTMENT LLC,NEW BERKELEY PLACE APARTMENTS LLC,BERKELEY PLACE APARTMENTS,249 GULLEDGE STREET,MONCKS CORNER,SC,294610000,2010-03-01T06:00:00Z,590000,1839524,6572,58400,24,0,523,0,REHAB/REPAIR,FAMILY
2024,CHURCHILL MORTGAGE INVESTMENT LLC,"NEW BLACKVILLE GARDENS APTS. OF SC, LLC",BLACKVILLE GARDENS APARTMENTS,5519 HILDA ROAD,BLACKVILLE,SC,298170000,2024-09-17T05:00:00Z,375000,3602777,1953,76800,8,8,742,782,REHAB/REPAIR,FAMILY
2008,CHURCHILL MORTGAGE INVESTMENT LLC,NEW BRECKENRIDGE APARTMENTS LLC,BRECKENRIDGE APARTMENTS,510 SOUTH MAIN STREET,MCCOLL,SC,295700000,2010-03-01T06:00:00Z,585000,1913927,2384,38400,24,0,450,0,REHAB/REPAIR,SENIOR
2014,CHURCHILL MORTGAGE INVESTMENT LLC,NEW BRIARWOOD APARTMENTS LLC,BRIARWOOD APARTMENTS,106 BUNDY STREET,CLIO,SC,295253526,2014-12-10T06:00:00Z,309000,1319175,718,33100,24,0,530,0,REHAB/REPAIR,SENIOR
2008,CHURCHILL MORTGAGE INVESTMENT LLC,NEW BROOKSIDE MANOR APARTMENTS LLC,BROOKSIDE MANOR APARTMENTS,1871 BROOKSIDE MANOR,NEWBERRY,SC,291080000,2010-03-01T06:00:00Z,940000,2992054,10874,48500,42,0,440,0,REHAB/REPAIR,SENIOR
2021,BELLWETHER ENTERPRISE REAL ESTATE,"NEW CANEY OAKS HOUSING, LTD",NEW CANEY OAKS,19633 FM 1485,NEW CANEY,TX,773570000,2023-01-05T06:00:00Z,1811405,11907539,19987,78800,32,61,614,649,REHAB/REPAIR,FAMILY
2017,CHURCHILL MORTGAGE INVESTMENT LLC,"NEW CANTERBURY APARTMENTS, LLC",CANTERBURY APARTMENTS,103 EAST CANTERBURY LANE,CAMDEN,SC,290200000,2017-07-27T05:00:00Z,866000,2807775,6838,54000,36,0,480,0,REHAB/REPAIR,SENIOR
2024,CHURCHILL MORTGAGE INVESTMENT LLC,"NEW CANTERFIELD MANOR APTS. OF SC, LLC",CANTERFIELD MANOR APARTMENTS,89 CANTERFIELD COURT,DENMARK,SC,290420000,2024-09-30T05:00:00Z,300000,3269261,3139,77400,20,0,840,0,REHAB/REPAIR,SENIOR
2021,CHURCHILL MORTGAGE INVESTMENT LLC,"NEW CARROLLTON CLUB, LLC",CARROLLTON CLUB,1130 CEDAR STREET,CARROLLTON,GA,301170000,2022-01-27T06:00:00Z,4091000,12054565,24388,40996,72,8,805,855,REHAB/REPAIR,SENIOR
